TRACE #1
--------------------------
{'x': 67.0}
{'z': 185.0, 'x': 67.0}
{'z': 152.0, 'x': 79.0, 'tmp': 0.0}
{'z': 152.0, 'x': 78.0, 'tmp': 0.0}
{'z': 151.0, 'x': 78.0, 'tmp': 0.0}
{'z': 151.0, 'x': 78.0, 'tmp': 0.0}
{'z': 151.0, 'x': 77.0, 'tmp': 0.0}
{'z': 150.0, 'x': 77.0, 'tmp': 0.0}
{'z': 150.0, 'x': 77.0, 'tmp': 1.0}
{'z': 150.0, 'x': 78.0, 'tmp': 1.0}
{'z': 150.0, 'x': 78.0, 'tmp': 1.0}
{'z': 150.0, 'x': 79.0, 'tmp': 1.0}
{'z': 150.0, 'x': 79.0, 'tmp': 0.0}
{'z': 150.0, 'x': 78.0, 'tmp': 0.0}
{'z': 149.0, 'x': 78.0, 'tmp': 0.0}
{'z': 149.0, 'x': 78.0, 'tmp': 1.0}
{'z': 149.0, 'x': 79.0, 'tmp': 1.0}
{'z': 149.0, 'x': 79.0, 'tmp': 0.0}
{'z': 149.0, 'x': 78.0, 'tmp': 0.0}
{'z': 148.0, 'x': 78.0, 'tmp': 0.0}
{'z': 148.0, 'x': 78.0, 'tmp': 0.0}
{'z': 148.0, 'x': 77.0, 'tmp': 0.0}
{'z': 147.0, 'x': 77.0, 'tmp': 0.0}
{'z': 147.0, 'x': 77.0, 'tmp': 1.0}
{'z': 147.0, 'x': 78.0, 'tmp': 1.0}
{'z': 147.0, 'x': 78.0, 'tmp': 0.0}
{'z': 147.0, 'x': 77.0, 'tmp': 0.0}
{'z': 146.0, 'x': 77.0, 'tmp': 0.0}
{'z': 146.0, 'x': 77.0, 'tmp': 0.0}
{'z': 146.0, 'x': 76.0, 'tmp': 0.0}
{'z': 145.0, 'x': 76.0, 'tmp': 0.0}
{'z': 145.0, 'x': 76.0, 'tmp': 1.0}
{'z': 145.0, 'x': 77.0, 'tmp': 1.0}
{'z': 145.0, 'x': 77.0, 'tmp': 1.0}
{'z': 145.0, 'x': 78.0, 'tmp': 1.0}
{'z': 145.0, 'x': 78.0, 'tmp': 1.0}
{'z': 145.0, 'x': 79.0, 'tmp': 1.0}
{'z': 145.0, 'x': 79.0, 'tmp': 0.0}
{'z': 145.0, 'x': 78.0, 'tmp': 0.0}
{'z': 144.0, 'x': 78.0, 'tmp': 0.0}
{'z': 144.0, 'x': 78.0, 'tmp': 1.0}
{'z': 144.0, 'x': 79.0, 'tmp': 1.0}
{'z': 144.0, 'x': 79.0, 'tmp': 0.0}
{'z': 144.0, 'x': 78.0, 'tmp': 0.0}
{'z': 143.0, 'x': 78.0, 'tmp': 0.0}
{'z': 143.0, 'x': 78.0, 'tmp': 1.0}
{'z': 143.0, 'x': 79.0, 'tmp': 1.0}
{'z': 143.0, 'x': 79.0, 'tmp': 0.0}
{'z': 143.0, 'x': 78.0, 'tmp': 0.0}
{'z': 142.0, 'x': 78.0, 'tmp': 0.0}
{'z': 142.0, 'x': 78.0, 'tmp': 1.0}
{'z': 142.0, 'x': 79.0, 'tmp': 1.0}
{'z': 142.0, 'x': 79.0, 'tmp': 1.0}
