TRACE #1
--------------------------
{'E1': 0.0}
{'S': 0.0, 'E1': 0.0}
{'S': 370.0, 'E1': -49.0, 'E0': 639.0}
{'S': 370.0, 'E1': -49.0, 'E0': 370.0}
{'S': 545.0, 'E1': -49.0, 'E0': 370.0}
{'S': 545.0, 'E1': 126.0, 'E0': 370.0}
{'S': 545.0, 'E1': 126.0, 'E0': 545.0}
{'S': 562.0, 'E1': 126.0, 'E0': 545.0}
{'S': 562.0, 'E1': 0.0, 'E0': 545.0}
{'S': 562.0, 'E1': 0.0, 'E0': 562.0}
{'S': 647.0, 'E1': 0.0, 'E0': 562.0}
{'S': 647.0, 'E1': 85.0, 'E0': 562.0}
{'S': 647.0, 'E1': 85.0, 'E0': 647.0}
{'S': 571.0, 'E1': 85.0, 'E0': 647.0}
{'S': 571.0, 'E1': 8.0, 'E0': 647.0}
{'S': 571.0, 'E1': 8.0, 'E0': 571.0}
{'S': 482.0, 'E1': 8.0, 'E0': 571.0}
{'S': 482.0, 'E1': 0.0, 'E0': 571.0}
{'S': 482.0, 'E1': 0.0, 'E0': 482.0}
{'S': 816.0, 'E1': 0.0, 'E0': 482.0}
{'S': 816.0, 'E1': 334.0, 'E0': 482.0}
{'S': 816.0, 'E1': 334.0, 'E0': 816.0}
{'S': 929.0, 'E1': 334.0, 'E0': 816.0}
{'S': 929.0, 'E1': 446.0, 'E0': 816.0}
{'S': 929.0, 'E1': 446.0, 'E0': 929.0}
{'S': 245.0, 'E1': 446.0, 'E0': 929.0}
{'S': 245.0, 'E1': 0.0, 'E0': 929.0}
{'S': 245.0, 'E1': 0.0, 'E0': 245.0}
{'S': 230.0, 'E1': 0.0, 'E0': 245.0}
{'S': 230.0, 'E1': 0.0, 'E0': 245.0}
{'S': 230.0, 'E1': 0.0, 'E0': 230.0}
{'S': 277.0, 'E1': 0.0, 'E0': 230.0}
{'S': 277.0, 'E1': 47.0, 'E0': 230.0}
{'S': 277.0, 'E1': 47.0, 'E0': 277.0}
{'S': 832.0, 'E1': 47.0, 'E0': 277.0}
{'S': 832.0, 'E1': 0.0, 'E0': 277.0}
{'S': 832.0, 'E1': 0.0, 'E0': 832.0}
{'S': 689.0, 'E1': 0.0, 'E0': 832.0}
{'S': 689.0, 'E1': -143.0, 'E0': 832.0}
{'S': 689.0, 'E1': -143.0, 'E0': 689.0}
{'S': 55.0, 'E1': -143.0, 'E0': 689.0}
{'S': 55.0, 'E1': 0.0, 'E0': 689.0}
{'S': 55.0, 'E1': 0.0, 'E0': 55.0}
{'S': 997.0, 'E1': 0.0, 'E0': 55.0}
{'S': 997.0, 'E1': 942.0, 'E0': 55.0}
{'S': 997.0, 'E1': 942.0, 'E0': 997.0}
{'S': 663.0, 'E1': 942.0, 'E0': 997.0}
{'S': 663.0, 'E1': 607.0, 'E0': 997.0}
{'S': 663.0, 'E1': 607.0, 'E0': 663.0}
{'S': 870.0, 'E1': 607.0, 'E0': 663.0}
{'S': 870.0, 'E1': 813.0, 'E0': 663.0}
{'S': 870.0, 'E1': 813.0, 'E0': 870.0}
